timestamp,temperature_c,humidity_pct
2026-07-07 00:00:26,25.3,68.0
2026-07-07 00:00:56,25.3,68.0
2026-07-07 00:01:26,25.3,68.0
2026-07-07 00:01:56,25.3,68.0
2026-07-07 00:02:26,25.3,68.0
2026-07-07 00:02:56,25.3,68.0
2026-07-07 00:03:26,25.3,68.0
2026-07-07 00:03:56,25.3,68.0
2026-07-07 00:04:26,25.3,68.0
2026-07-07 00:04:56,25.3,68.0
2026-07-07 00:05:26,25.3,68.0
2026-07-07 00:05:56,25.3,68.0
2026-07-07 00:06:26,25.3,68.0
2026-07-07 00:06:56,25.3,68.0
2026-07-07 00:07:26,25.3,68.0
2026-07-07 00:07:56,25.3,68.0
2026-07-07 00:08:26,25.3,68.0
2026-07-07 00:08:56,25.3,68.0
2026-07-07 00:09:26,25.3,68.0
2026-07-07 00:09:56,25.3,68.0
2026-07-07 00:10:26,25.3,68.0
2026-07-07 00:10:56,25.3,68.0
2026-07-07 00:11:26,25.3,68.0
2026-07-07 00:11:56,25.3,68.0
2026-07-07 00:12:26,25.3,68.0
2026-07-07 00:12:56,25.3,68.0
2026-07-07 00:13:26,25.3,68.0
2026-07-07 00:13:56,25.3,68.0
2026-07-07 00:14:26,25.3,68.0
2026-07-07 00:14:56,25.3,68.0
2026-07-07 00:15:26,25.3,68.0
2026-07-07 00:15:56,25.3,68.0
2026-07-07 00:16:26,25.3,68.0
2026-07-07 00:16:56,25.3,68.0
2026-07-07 00:17:26,25.3,68.0
2026-07-07 00:17:56,25.3,68.0
2026-07-07 00:18:26,25.3,68.0
2026-07-07 00:18:56,25.3,68.0
2026-07-07 00:19:26,25.3,68.0
2026-07-07 00:19:56,25.3,68.0
2026-07-07 00:20:26,25.3,68.0
2026-07-07 00:20:56,25.3,68.0
2026-07-07 00:21:26,25.3,68.0
2026-07-07 00:21:56,25.3,68.0
2026-07-07 00:22:26,25.3,68.0
2026-07-07 00:22:56,25.3,68.0
2026-07-07 00:23:26,25.3,68.0
2026-07-07 00:23:56,25.3,68.0
2026-07-07 00:24:26,25.3,68.0
2026-07-07 00:24:56,25.3,68.0
2026-07-07 00:25:26,25.3,68.0
2026-07-07 00:25:56,25.3,68.0
2026-07-07 00:26:26,25.3,68.0
2026-07-07 00:26:56,25.3,68.0
2026-07-07 00:27:26,25.3,68.0
2026-07-07 00:27:56,25.3,68.0
2026-07-07 00:28:26,25.3,68.0
2026-07-07 00:28:56,25.3,68.0
2026-07-07 00:29:26,25.3,68.0
2026-07-07 00:29:56,25.3,68.0
2026-07-07 00:30:26,25.3,68.0
2026-07-07 00:30:56,25.3,68.0
2026-07-07 00:31:26,25.3,68.0
2026-07-07 00:31:56,25.3,68.0
2026-07-07 00:32:26,25.3,68.0
2026-07-07 00:32:56,25.3,68.0
2026-07-07 00:33:26,25.3,68.0
2026-07-07 00:33:56,25.3,68.0
2026-07-07 00:34:26,25.3,68.0
2026-07-07 00:34:56,25.3,68.0
2026-07-07 00:35:26,25.3,68.0
2026-07-07 00:35:56,25.3,68.0
2026-07-07 00:36:26,25.3,68.0
2026-07-07 00:36:56,25.3,68.0
2026-07-07 00:37:26,25.3,68.0
2026-07-07 00:37:56,25.3,68.0
2026-07-07 00:38:26,25.3,68.0
2026-07-07 00:38:56,25.3,68.0
2026-07-07 00:39:26,25.3,68.0
2026-07-07 00:39:56,25.3,68.0
2026-07-07 00:40:26,25.3,68.0
2026-07-07 00:40:56,25.3,68.0
2026-07-07 00:41:26,25.3,68.0
2026-07-07 00:41:56,25.3,68.0
2026-07-07 00:42:26,25.3,68.0
2026-07-07 00:42:56,25.3,68.0
2026-07-07 00:43:26,25.3,68.0
2026-07-07 00:43:56,25.3,68.0
2026-07-07 00:44:26,25.3,68.0
2026-07-07 00:44:56,25.3,68.0
2026-07-07 00:45:26,25.3,68.0
2026-07-07 00:45:56,25.3,68.0
2026-07-07 00:46:26,25.3,68.0
2026-07-07 00:46:56,25.3,68.0
2026-07-07 00:47:26,25.3,68.0
2026-07-07 00:47:56,25.3,68.0
