timestamp,temperature,humidity,soil_moisture,soil_temp,soil_ec,soil_ph,npk_moisture,npk_temp,npk_ec,npk_ph,N,P,K,resistive_raw,resistive_voltage,resistive_moisture
2026-08-14 00:01:06,26.20,78.00,,,,,,,,,,,,665.00,3.25,85.80
2026-08-14 00:22:56,,,,,,,,,,,,,,672.00,3.28,87.00
2026-08-14 00:31:06,26.20,78.00,,,,,,,,,,,,687.00,3.36,89.50
2026-08-14 00:52:56,,,,,,,,,,,,,,664.00,3.24,85.70
2026-08-14 01:01:06,26.20,78.00,,,,,,,,,,,,674.00,3.29,87.30
2026-08-14 01:22:56,,,,,,,,,,,,,,676.00,3.30,87.70
2026-08-14 01:31:06,26.20,78.00,,,,,,,,,,,,671.00,3.28,86.80
2026-08-14 01:52:56,,,,,,,,,,,,,,679.00,3.32,88.20
2026-08-14 02:01:06,26.20,78.00,,,,,,,,,,,,674.00,3.29,87.30
2026-08-14 02:22:56,,,,,,,,,,,,,,679.00,3.32,88.20
2026-08-14 02:31:06,26.20,78.00,,,,,,,,,,,,671.00,3.28,86.80
2026-08-14 02:52:56,,,,,,,,,,,,,,667.00,3.26,86.20
2026-08-14 03:01:06,26.20,78.00,,,,,,,,,,,,667.00,3.26,86.20
2026-08-14 03:22:56,,,,,,,,,,,,,,663.00,3.24,85.50
2026-08-14 03:31:06,26.20,78.00,,,,,,,,,,,,678.00,3.31,88.00
2026-08-14 03:52:56,,,,,,,,,,,,,,659.00,3.22,84.80
2026-08-14 04:01:06,26.20,78.00,,,,,,,,,,,,669.00,3.27,86.50
2026-08-14 04:22:56,,,,,,,,,,,,,,659.00,3.22,84.80
2026-08-14 04:31:06,26.20,78.00,,,,,,,,,,,,669.00,3.27,86.50
2026-08-14 04:52:56,,,,,,,,,,,,,,673.00,3.29,87.20
2026-08-14 05:01:06,26.20,78.00,,,,,,,,,,,,679.00,3.32,88.20
2026-08-14 05:22:56,,,,,,,,,,,,,,685.00,3.35,89.20
2026-08-14 05:31:06,26.20,78.00,,,,,,,,,,,,670.00,3.28,86.70
2026-08-14 05:52:56,,,,,,,,,,,,,,673.00,3.29,87.20
2026-08-14 06:01:06,26.20,78.00,,,,,,,,,,,,681.00,3.33,88.50
2026-08-14 06:22:56,,,,,,,,,,,,,,674.00,3.29,87.30
2026-08-14 06:31:06,26.20,78.00,,,,,,,,,,,,680.00,3.32,88.30
2026-08-14 06:52:56,,,,,,,,,,,,,,673.00,3.29,87.20
2026-08-14 07:01:06,26.20,78.00,,,,,,,,,,,,678.00,3.31,88.00
2026-08-14 07:22:56,,,,,,,,,,,,,,674.00,3.29,87.30
2026-08-14 07:31:06,26.20,78.00,,,,,,,,,,,,682.00,3.33,88.70
2026-08-14 07:52:56,,,,,,,,,,,,,,676.00,3.30,87.70
2026-08-14 08:01:06,26.20,78.00,,,,,,,,,,,,671.00,3.28,86.80
2026-08-14 08:22:56,,,,,,,,,,,,,,673.00,3.29,87.20
2026-08-14 08:31:06,26.20,78.00,,,,,,,,,,,,670.00,3.28,86.70
2026-08-14 08:52:56,,,,,,,,,,,,,,680.00,3.32,88.30
2026-08-14 09:01:06,26.20,78.00,,,,,,,,,,,,680.00,3.32,88.30
2026-08-14 09:22:56,,,,,,,,,,,,,,676.00,3.30,87.70
2026-08-14 09:31:06,26.20,78.00,,,,,,,,,,,,678.00,3.31,88.00
2026-08-14 09:52:56,,,,,,,,,,,,,,682.00,3.33,88.70
2026-08-14 10:01:06,26.20,78.00,,,,,,,,,,,,672.00,3.28,87.00
2026-08-14 10:22:56,,,,,,,,,,,,,,684.00,3.34,89.00
2026-08-14 10:31:06,26.20,78.00,,,,,,,,,,,,680.00,3.32,88.30
